0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
-1,18,1473,3,4,39,1,1,3,2,4,0,1,3,0,0,2,1,2,1,0
-1,18,1887,4,4,28,2,1,1,4,9,4,2,3,0,0,0,1,2,0,0
1,24,8648,2,2,27,2,1,3,3,9,0,1,2,0,2,0,1,2,1,0
-1,14,802,4,2,27,2,1,3,3,0,0,2,2,0,2,2,1,1,0,0
-1,18,2899,4,4,43,1,2,1,3,0,4,4,2,0,2,2,1,2,0,0
1,24,2039,1,1,22,1,1,1,2,4,0,1,3,0,1,2,1,2,1,0
-1,24,2197,4,4,43,2,2,3,4,1,4,3,2,0,2,2,1,2,1,0
-1,15,1053,4,2,27,1,1,0,2,4,0,1,3,0,0,2,1,2,0,1
-1,24,3235,3,2,26,1,1,3,2,4,2,4,0,0,2,2,1,3,1,0
1,12,939,4,2,28,3,1,2,4,0,2,3,3,0,0,2,1,2,1,0
-1,24,1967,4,4,20,1,1,1,2,4,0,4,1,0,2,2,1,2,1,0
-1,33,7253,3,2,35,2,1,3,4,1,0,3,2,0,2,2,1,3,1,0
1,12,2292,4,2,42,2,1,3,4,9,0,0,2,0,2,1,1,3,1,0
-1,10,1597,3,2,40,1,2,3,2,0,2,2,2,0,3,2,0,1,0,1
1,24,1381,4,2,35,1,1,0,2,0,4,2,1,0,1,2,1,2,0,0
-1,36,5842,2,2,35,2,2,3,4,1,0,4,2,0,1,2,1,2,1,0
1,12,2579,4,1,33,1,2,0,2,0,0,1,2,0,0,2,1,1,0,0
-1,18,8471,1,2,23,2,1,0,3,7,4,2,1,0,2,2,0,2,1,0
-1,21,2782,1,2,31,1,1,3,2,0,2,3,1,0,2,0,1,3,0,0
1,18,1042,4,2,33,1,1,1,2,0,4,2,1,0,1,2,1,2,0,0
-1,15,3186,2,3,20,1,1,3,2,0,3,3,1,0,2,2,0,2,0,0
-1,12,2028,4,2,30,1,1,1,2,1,4,2,2,0,2,2,1,2,0,0
-1,12,958,2,3,47,2,2,1,4,0,0,3,2,0,0,2,1,1,0,0
-1,21,1591,4,3,34,2,1,3,3,3,1,3,2,0,0,2,1,3,0,0
1,12,2762,1,2,25,1,1,1,2,3,4,4,1,0,1,0,1,2,1,0
-1,18,2779,1,3,21,1,1,1,2,1,0,2,3,0,2,2,0,2,1,0
-1,28,2743,4,2,29,2,1,3,4,4,0,4,2,0,2,2,1,2,0,0
-1,18,1149,4,3,46,2,1,3,4,4,3,2,2,0,0,2,1,2,0,0
-1,9,1313,1,4,20,1,1,3,2,3,0,4,2,0,2,2,1,2,0,0
1,18,1190,2,4,55,3,2,0,4,6,0,0,1,0,3,2,2,0,0,0
-1,5,3448,1,4,74,1,1,3,2,9,0,3,2,0,0,2,1,1,0,0
1,24,11328,2,3,29,2,1,1,2,2,0,2,2,1,2,0,1,3,1,0
-1,6,1872,4,4,36,3,1,0,4,3,0,0,2,0,3,2,2,3,1,0
-1,24,2058,4,2,33,2,1,3,4,6,0,2,0,0,0,2,1,2,1,0
-1,9,2136,3,2,25,1,1,0,2,3,0,2,2,0,0,2,1,2,0,0
1,12,1484,2,1,25,1,1,1,2,4,4,2,3,0,0,2,1,2,1,0
-1,6,660,2,4,23,1,1,3,2,6,2,3,3,0,0,2,0,1,0,0
-1,24,1287,4,4,37,2,1,3,4,0,3,4,1,0,0,2,1,2,1,0
-1,42,3394,4,4,65,2,1,0,4,6,0,0,2,1,2,2,1,0,0,0
1,12,609,4,1,26,1,1,2,1,9,0,1,1,0,0,2,1,0,0,0
-1,12,1884,4,4,39,1,1,3,2,0,0,4,2,0,2,2,1,3,1,0
-1,12,1620,2,3,30,1,1,0,2,3,0,2,1,1,1,2,1,2,0,0
-1,20,2629,2,3,29,2,1,1,3,2,0,2,2,0,2,0,1,2,1,0
1,12,719,4,4,41,1,2,3,2,7,0,4,2,0,2,0,1,1,0,0
1,48,5096,2,3,30,1,1,1,4,3,0,2,1,0,2,2,1,3,1,0
-1,9,1244,4,4,41,2,1,3,4,7,4,4,1,0,1,2,0,1,0,0
1,36,1842,4,4,34,1,1,0,2,0,0,1,1,0,2,2,1,2,1,0
-1,7,2576,2,2,35,1,1,1,2,4,0,2,2,2,0,2,1,2,0,0
-1,12,1424,3,4,55,1,1,2,2,3,4,4,1,0,0,2,1,3,1,0
1,15,1512,3,3,61,2,1,1,3,6,3,2,3,0,1,1,1,2,0,0
-1,36,11054,4,2,30,1,1,3,4,1,4,2,2,0,2,2,1,3,1,0
-1,6,518,3,1,29,1,1,3,2,4,0,2,1,0,0,2,1,2,0,0
-1,12,2759,2,4,34,2,1,3,0,3,0,4,2,0,1,2,1,2,0,0
-1,24,2670,4,4,35,1,1,3,2,1,0,4,2,0,2,2,1,3,1,0
1,24,4817,2,3,31,1,1,0,2,0,0,3,2,1,1,2,1,2,1,0
-1,24,2679,4,1,29,1,1,3,2,1,0,1,1,0,3,2,1,3,1,0
-1,11,3905,2,2,36,2,2,0,4,0,0,2,2,0,0,2,0,2,0,0
1,12,3386,3,4,35,1,1,0,2,1,0,4,2,0,3,2,2,2,1,0
-1,6,343,4,1,27,1,1,0,2,5,0,1,1,0,0,2,1,2,0,0
-1,18,4594,3,2,32,1,1,3,2,4,0,1,2,0,2,2,1,2,1,0
-1,36,3620,1,2,37,1,2,0,2,3,0,2,2,2,1,2,1,2,0,0
-1,15,1721,2,3,36,1,1,0,2,0,0,1,2,0,0,2,1,2,0,0
-1,12,3017,3,1,34,1,1,1,2,3,0,1,1,0,0,2,0,3,0,0
-1,12,754,4,4,38,2,1,1,2,8,4,4,2,0,1,2,1,2,0,0
-1,18,1950,4,1,34,2,1,3,2,9,0,3,2,0,2,1,1,2,1,0
-1,24,2924,3,4,63,1,2,0,2,1,0,2,2,2,3,0,1,2,1,0
1,24,1659,4,2,29,1,1,0,3,4,0,1,1,0,2,2,0,1,1,0
-1,48,7238,3,3,32,2,2,3,3,4,4,4,2,0,2,0,1,2,0,0
-1,33,2764,2,2,26,2,1,3,3,9,0,2,1,0,2,2,1,2,1,0
-1,24,4679,3,3,35,2,1,3,3,1,0,3,2,0,2,2,1,1,1,0
1,24,3092,3,2,22,1,1,1,2,4,1,1,3,0,2,2,0,2,1,0
1,6,448,4,4,23,1,1,0,2,7,0,1,1,0,1,2,1,2,0,0
1,9,654,4,3,28,1,1,0,2,0,0,2,2,0,2,2,1,1,0,0
-1,6,1238,4,4,36,1,2,3,2,8,4,0,2,0,1,2,1,3,1,0
1,18,1245,4,2,33,1,1,1,4,4,0,2,3,0,2,2,1,2,0,0
1,18,3114,1,4,26,1,1,0,0,3,0,1,1,0,1,2,0,2,0,0
-1,39,2569,4,4,24,1,1,3,2,1,2,2,2,0,2,2,1,2,0,0
-1,24,5152,4,2,25,1,1,2,2,4,0,3,2,0,2,0,1,2,0,0
-1,12,1037,3,4,39,1,1,1,2,9,1,3,2,0,0,2,1,1,0,0
-1,15,1478,4,4,44,2,2,0,4,3,0,4,2,0,2,2,1,2,1,0
-1,12,3573,1,1,23,1,1,1,4,4,0,2,1,0,0,2,1,1,0,0
-1,24,1201,4,1,26,1,1,1,2,0,0,1,2,0,1,2,1,2,0,0
-1,30,3622,4,4,57,2,1,0,2,3,3,4,1,0,1,2,0,2,1,0
-1,15,960,3,2,30,2,1,3,3,3,3,3,1,0,1,2,1,2,0,0
-1,12,1163,4,4,44,1,1,3,4,0,2,2,2,0,0,2,1,2,1,0
1,6,1209,4,4,47,1,1,1,3,0,0,0,2,0,1,2,1,3,1,0
-1,12,3077,2,4,52,1,1,3,2,4,0,2,2,0,2,2,1,2,1,0
-1,24,3757,4,4,62,1,1,3,2,0,0,4,1,1,3,2,2,2,1,0
-1,10,1418,3,2,35,1,1,3,2,0,1,2,2,0,0,2,0,1,0,1
-1,6,3518,2,3,26,1,1,3,2,0,0,2,2,2,1,2,0,2,0,0
-1,12,1934,2,2,26,2,1,3,4,4,0,4,2,0,3,2,1,2,0,0
1,27,8318,2,4,42,2,1,1,0,9,0,4,1,0,3,2,2,3,1,0
-1,6,1237,1,1,27,2,1,3,4,4,1,2,1,0,1,2,1,2,0,0
-1,6,368,4,4,38,1,1,1,2,4,4,4,2,0,1,2,1,2,0,0
-1,12,2122,3,2,39,2,2,0,4,0,0,2,2,0,0,2,0,1,0,1
1,24,2996,2,4,20,1,1,0,2,3,4,2,3,0,2,2,1,2,0,0
1,36,9034,4,1,29,1,1,1,2,3,1,1,2,1,3,2,0,3,1,0
-1,24,1585,4,3,40,2,1,3,4,3,0,3,2,0,1,2,1,2,0,0
-1,18,1301,4,2,32,1,1,1,2,4,0,4,3,2,0,2,1,1,0,0
-1,6,1323,2,4,28,2,2,2,4,0,1,4,0,0,2,2,1,2,1,0
